name;Pattern (91 templates considered in the paper);Pattern (new templates);category;author;description;views;copies;link-href
Moving Plan;Kanban;;Personal;por Emily Cnossen, MarTech Analyst @ SAP Concur;When my husband and I decided to move to a new state, I instantly knew we would need a Trello board.;20,6 mil;4,7 mil;https://trello.com/templates/personal/moving-plan-4rSaP4aZ
Mr. Rogers: “Watercooler” Video Chat Planner;;Ordered Information;Remote work;por Trello Team;A simple way to build team culture.;10,4 mil;762;https://trello.com/templates/remote-work/mr.-rogers:-%E2%80%9Cwatercooler%E2%80%9D-video-chat-planner-Y5Mt4p2E
My Climate Action Plan (MyCAP);;Categorized Information;Personal;por Business Council on Climate Change;Take action to protect our planet, both at work and at home.;11,5 mil;1,5 mil;https://trello.com/templates/personal/my-climate-action-plan-(mycap)-SpzOkSAf
New Baby;;Ordered Information;Personal;por Sarah Smith, Senior Consultant;A handy template for expectant parents to get prepared.;20;6;https://trello.com/templates/personal/new-baby-UgkuKvSc
New Test Automation Development Project;;Kanban;Engineering;por Monica, MLProductions LLC, Owner;Guide the initial tasks necessary for developing a Software Test Automation project.;15,2 mil;2,3 mil;https://trello.com/templates/engineering/new-test-automation-development-project-oEp4zHXF
New Year's Resolutions;;Information Lifecycle;Personal;por Trello Team;Set your New Year's resolutions - and stick to them! - with this Trello template.;15,5 mil;4,9 mil;https://trello.com/templates/personal/new-year's-resolutions-BnhICgyE
Office Party Planning;Kanban & Categorized Information;;Team Management;por Trello Marketing Team;Use this Trello board to plan an amazing office party!;23,1 mil;7,6 mil;https://trello.com/templates/team-management/office-party-planning-NKALXvqK
Offsite Planning;Ordered Information;;Team Management;por Trello Team;Use this template to plan your next team offsite! The whole team has access to this board before, during, and after the offsite to stay informed.;10 mil;1,4 mil;https://trello.com/templates/team-management/offsite-planning-QFFN55LD
OKRs;Categorized Tasks;;Business;por Kevan Lee, VP of Marketing @ Buffer;Learn how Kevan Lee helps his team prioritize and plan by setting OKRs - objectives and key results.;159,6 mil;26,8 mil;https://trello.com/templates/business/okrs-ZE5BzGZD
Onboarding Process For New Hires;Categorized information;;Operations-hr;por InVision;Ensure that every new hire has a meaningful onboarding experience.;30,2 mil;4,2 mil;https://trello.com/templates/operations-hr/onboarding-process-for-new-hires-16LjOiG1
Personal & Work Goals;Categorized Tasks;;Productivity;por David Barber, Blogger @ TechBarber.com;Track the status of your personal and professional productivity. Set goals and achieve them.;158,9 mil;25,2 mil;https://trello.com/templates/productivity/personal-&-work-goals-QvHVksDa
Personal (or Work) Productivity System - Know your Priorities;;Information Lifecycle;Productivity;por Rebecca Lossing, Product Manager;Use this template to maximize your productivity in a way that aligns with your real priorities.;34,2 mil;4,4 mil;https://trello.com/templates/productivity/personal-(or-work)-productivity-system---know-your-priorities-XkHwLSZQ
Personal Workflow Board;;Information Lifecycle;Personal;por Diane B.;Use this template to manage your everyday workflow.;8,2 mil;1,2 mil;https://trello.com/templates/personal/personal-workflow-board-U6KV7GHl
Photography Order Production Tracking;;Information Lifecycle;Design;por Jesse Starr, Owner @ Two Elk Studios;A template for tracking the production of photography orders and works.;3,4 mil;438;https://trello.com/templates/design/photography-order-production-tracking-6y4dKks4
Photography Session Workflow Tracking;;Information Lifecycle;Design;por Jesse Starr, Owner @ Two Elk Studios;Use this board to track your photography sessions once they have been booked, to have an overview of your workflow stages.;3,5 mil;618;https://trello.com/templates/design/photography-session-workflow-tracking-p4sQNTHx
Pitch Deck;;Categorized Information;Business;por Jad Villanueva;This template guides you on building your Investor Pitch Deck for Startups.;18,3 mil;4,1 mil;https://trello.com/templates/business/pitch-deck-8Qsm9Tv2
Plan Your Life;;Categorized Information;Personal;por Samantha Dee, Life Coach;Find your direction and commit to some life changes.;21,2 mil;5,9 mil;https://trello.com/templates/personal/plan-your-life-qH1ngXVo
Podcast Workflow Template;;Information Lifecycle;Marketing;por Ryan Spilken, Evangelist @ Adaptavist;The one-stop-shop for managing your podcast production workflow.;1,4 mil;320;https://trello.com/templates/marketing/podcast-workflow-template-5boCNZwE
Portfolio - Step by Step guide;;Kanban;Design;por Utsav Sheth, UI/UX Designer;This template is for beginners who want to make a portfolio for their next job.;9,5 mil;2,1 mil;https://trello.com/templates/design/portfolio---step-by-step-guide-nhjzRy0b
Post A Job [Hiring Process];Information lifecycle;;Operations-hr;por Indeed;Keep your Indeed job postings organized and hire the best candidates possible.;10,4 mil;2,1 mil;https://trello.com/templates/operations-hr/post-a-job-[hiring-process]-FggEQHw1
Post-Mortem Meeting Board;Kanban;;Team Management;por Darren Chait, Co-Founder @ Hugo;This boards help you celebrate what worked and learn from what didn't.;6 mil;832;https://trello.com/templates/team-management/post-mortem-meeting-board-GZpNME7W
Premortem;;Categorized Information;Project Management;por Atlassian Team Playbook;Anticipate risks so you can solve for them while there's still time.;3,6 mil;436;https://trello.com/templates/project-management/premortem-OtqPUc50
Product Roadmap Template;Kanban;;Product Management;por Trello Product Team;Track product development and feature requests with stakeholders and product owners.;81,2 mil;15,6 mil;https://trello.com/templates/product-management/product-roadmap-template-FrbAJsbH
Productivity Template;;Kanban;Productivity;por Chris McGee, Corporate Communications Associate @ Mailchimp;A day-to-day productivity template to help you stay organized.;19,6 mil;3,5 mil;https://trello.com/templates/productivity/productivity-template--czpYgC0I
Productivity Workflow;Kanban & Categorized Information;;Productivity;por Trello Marketing Team;As a team we're always trying out new productivity methods, use this board to try each one!;144 mil;28,9 mil;https://trello.com/templates/productivity/productivity-workflow-2ydu8DKc
Program Management Template;;Categorized Information;Project Management;por Soniya Ahuja, Staff Program Manager @ Broadcom;A simple template with valuable links to resources that will help program managers quickly bootstrap the PMO team.;65,5 mil;7,8 mil;https://trello.com/templates/project-management/program-management-template-potjK48u
Project Based Learning;Process Tasks;;Education;por Michael Burke, Educator @ Bel Air High School;A key aspect of organizing projects is creating a timeline, responsibilities, and checklists.;110,7 mil;14,4 mil;https://trello.com/templates/education/project-based-learning-suSC9geN
Project Management;Kanban & Categorized Information;;Project Management;por Trello Marketing Team;Use this basic structure to build your team's ideal workflow, for projects big or small.;793,3 mil;317,4 mil;https://trello.com/templates/project-management/project-management-1x4Uql2u
Project Trade-offs Tracker (Before named Trade-offs);;Ordered Information;Project Management;por Atlassian Team Playbook;Define and prioritize project trade-offs to save time later.;31;2;https://trello.com/templates/project-management/project-trade-offs-tracker-IVpovHZW
Publishing Process;Information lifecycle;;Marketing;por The Telegraph;From ideation to publication. The Telegraph uses Trello + automation to get things done.;31,8 mil;5,5 mil;https://trello.com/templates/marketing/publishing-process-gCeV9WFJ
Reader Manager;;Information Lifecycle;Personal;por Ian Kipchirchir;Keep track of what you've read, want to read, and suggestions from others.;4,3 mil;1,2 mil;https://trello.com/templates/personal/reader-manager-I5WZSJGa
Reading List;;Information Lifecycle;Personal;por Vijay Chahal, Digital Transformation Lead;A visual way to keep track of the books you want to read.;8,3 mil;2,8 mil;https://trello.com/templates/personal/reading-list-sy79W3jy
Real Estate Organization;;Kanban;Sales;por Loida Velasquez, Realtor;Stay on top of your real estate leads.;18,2 mil;4,2 mil;https://trello.com/templates/sales/real-estate-organization-Uw4mr5b8
Recruiting Pipeline;;Information Lifecycle;Operations-hr;por Trello Team;Manage your recruiting pipeline from anticipated future needs to closed positions. Get a scannable view of your recruiting pipeline by creating a card for each position. Save time by attaching job descriptions to each positions’ card so that they can be accessed and updated by anyone on the team. Streamline your process by creating copiable template cards with checklists for each step required to fill an open role.;12 mil;1,8 mil;https://trello.com/templates/operations-hr/recruiting-pipeline-uGtv1gr7
Recurring Bill Tracker;;Information Lifecycle;Personal;por Diane B.;Set up Trello to update each day with recurring bills so you always have an eye on what's coming up.;2,1 mil;660;https://trello.com/templates/personal/recurring-bill-tracker-eNO20pzr
Remote Class Template;;Categorized Information;Education;por Kelly Theisen, Assistant Professor of Chemistry;Stay organized in a remote learning environment.;76,7 mil;15,5 mil;https://trello.com/templates/education/remote-class-template-2pdwgsed
Remote Cooking Challenge;;Categorized Information & Ordered Information;Personal;por Alexia Ohannessian, PMM @ Trello;Help your team or friend group bond from afar with the remote cooking challenge!;5,2 mil;1,1 mil;https://trello.com/templates/personal/remote-cooking-challenge-BtoZL0AQ
Remote Team Bonding Template;;Categorized Information;Remote work;por Trello Team;Create a space for your team to share experiences for remote activities.;12,5 mil;1,3 mil;https://trello.com/templates/remote-work/remote-team-bonding-template-s1mqXsyv
Remote Team Hub;;Information Lifecycle;Remote work;por Trello Team;A mission control center for your team productivity.;119,7 mil;13,9 mil;https://trello.com/templates/remote-work/remote-team-hub-E4uILULn
Remote Team Meetings;;Ordered Information;Remote work;por Trello Team;Bring focus and transparency to your remote team meetings.;56,6 mil;11,6 mil;https://trello.com/templates/remote-work/remote-team-meetings-lYdxML7x
Research Iteration;Kanban & Categorized Information;;Design;por Jessica Crabb, Product Designer @ Pivotal Labs;Set-up your user research plan from start to finish!;74,6 mil;9,5 mil;https://trello.com/templates/design/research-iteration-8t9qgmNz
Research Project;Categorized information;;Design;por Christopher Davis, Product Designer @ Trello;At Trello, research is fundamental to building great experiences.;44 mil;7,2 mil;https://trello.com/templates/design/research-project-DtCkfoiI
Retail Sales Pipeline;Information lifecycle;;Sales;por Mike's Bikes;We use this retail sales pipeline to manage orders across 12 retail shops.;18,7 mil;2,4 mil;https://trello.com/templates/sales/retail-sales-pipeline-aVPCG2i0
Sales Funnel powered by Smart Fields;;Information Lifecycle;Sales;por Vitaly Andrianov, developer @ Smart Fields;Keep track of sales leads, and highlight revenue, expenses, and profit using the Smart Fields Power-up.;4,5 mil;508;https://trello.com/templates/sales/sales-funnel-powered-by-smart-fields-oBnhQaQc
Sales Pipeline;Information lifecycle;;Sales;por Scan2CAD;A simple and actionable way of keeping track of your deals.;37,9 mil;8,7 mil;https://trello.com/templates/sales/sales-pipeline-5V1eXMiQ
Salesforce Project Template;;Kanban;Project Management;por Shubham Sonar, Salesforce Consultant;Manage your Salesforce projects on Trello.;8,2 mil;553;https://trello.com/templates/project-management/salesforce-project-template-ohNSELov
Scalify Marketing Process Template;;Kanban & Categorized Information;Marketing;por Scalify;For small marketing teams who want to get things done better and faster!;15,5 mil;3,1 mil;https://trello.com/templates/marketing/scalify-marketing-process-template-fY9NzD9a
Scientific Research Project (Template);;Kanban & Categorized Information;Project Management;por Blake Wilson, Research Associate @ University of Texas, Dallas;Use this template to manage your next scientific research project.;2,8 mil;758;https://trello.com/templates/project-management/scientific-research-project-(template)-GBnhFbVr
Self Care (Daily);;Information Lifecycle;Personal;por Kate Conway, QA Manager, Atlassian;Stick to some self care activities for more energy throughout the day.;13,7 mil;2,7 mil;https://trello.com/templates/personal/self-care-(daily)-vKTnXm8V
SEO Content Creation;;Information Lifecycle;Marketing;por R.J. Weiss, Founder @ The Ways To Wealth;Get your content production down to a science with SEO in mind.;2,2 mil;332;https://trello.com/templates/marketing/seo-content-creation-P5pfGKu8
Service Desk - Incident Impact Analysis;;Categorized Information;Support;por Chris Christian, Major Incident Manager @ CSAA;Gather the key data around an incident to address it effectively.;5,3 mil;364;https://trello.com/templates/support/service-desk---incident-impact-analysis-GSJ9Vgm2
Setlist Organizer;Assigned Information;;Personal;por Stu Smith, Designer @ Trello;Use this template to plan your band's upcoming gigs, store your chord charts, and everything your band needs to be successful.;5,7 mil;571;https://trello.com/templates/personal/setlist-organizer-E3s5vqAm
Shipping Planner;Information lifecycle;;Product Management;por Chris Mondeau, R+D Manager @ McCorvey Sheet Metal Works;We use this board to track delivery orders. Shipping and Receiving teams can easily track shipments and get directions to deliver products.;7,6 mil;741;https://trello.com/templates/product-management/shipping-planner-MC3vZiVE
Simple Project Board;;Kanban;Project Management;por David Mugisha, Senior AI Tech Delivery Analyst @ Accenture;Move projects through brainstorm, to do, doing, and done.;277,1 mil;96,6 mil;https://trello.com/templates/project-management/simple-project-board-6QW0Ciu8
Site Reliability;Kanban;;Engineering;por Trello SREs;Manage and maintain systems-related improvements, architecture, and development.;31,1 mil;5,9 mil;https://trello.com/templates/engineering/site-reliability-JNM99zAE
Site tracker;;Categorized Tasks;Project Management;por UK Cabinet Office, Paul Trowsdale, Project Manager;Keep stakeholders apprised of plans for new sites.;14,8 mil;1,9 mil;https://trello.com/templates/project-management/site-tracker-Dj3EzmL9
Smart Building System Projects;;Information Lifecycle;Engineering;por Abdulrahman Saeed Qaid Mahyoub;Use this template with smart building system projects for installation and handling the project.;5,5 mil;525;https://trello.com/templates/engineering/smart-building-system-projects-8ViXIKBO
Social Media Marketing Board;;Kanban & Categorized Information;Marketing;por Moisson Marketing;Simple social media marketing board to keep all your social media resources, plans and efforts organized for your business.;25,8 mil;10,2 mil;https://trello.com/templates/marketing/social-media-marketing-board-7bPs6109
Software Development [Web App, iOS App, Android App];;Kanban;Engineering;por iLyas Farawe, CTO @ Techbarn;Manage tasks and deadlines for software development projects.;24,7 mil;5,6 mil;https://trello.com/templates/engineering/software-development-[web-app,-ios-app,-android-app]-Tg7SDf5W
Software Engineering Career Design;;Categorized Information;Engineering;por David, Software Architect @ Fortis Payments;Plan your software engineering career - where you are, and where you want to be!;15 mil;1,7 mil;https://trello.com/templates/engineering/software-engineering-career-design-QlbIQ0FR
Speaker guide for online events;;Ordered Information;Marketing;por Josip Lisec, Head of Product @ SpotMe;Prep for your next virtual event with precision!;10,3 mil;1,9 mil;https://trello.com/templates/marketing/speaker-guide-for-online-events-00XCjV24
Sprint Retrospectives;Categorized information;;Engineering;por Trello Engineering Team;Replace whiteboards with Trello boards for more informative and accessible team retrospectives.;48,2 mil;11,4 mil;https://trello.com/templates/engineering/sprint-retrospectives-hkaQsLWx
Staff Scheduling;;Assigned Information;Team Management;por Katara Hofmann;Manage team schedules and shifts.;15,1 mil;2 mil;https://trello.com/templates/team-management/staff-scheduling-TAED4hrH
Superpowers and Kryptonite Exercise;Categorized information;;Team Management;por Trello Team;This is a great exercise for team offsites. Get to know your teammates' strengths and weaknesses, and build shared understanding and empathy.;4,4 mil;554;https://trello.com/templates/team-management/superpowers-and-kryptonite-exercise-tkraWISQ
Support Ticket Management;;Kanban;Support;por Sam Phelps, IT & Systems Administrator @ Journey;A template to manage incoming IT requests.;15,5 mil;5,3 mil;https://trello.com/templates/support/support-ticket-management-ErT4heCl
Swift Developer Roadmap;;Ordered Information;Engineering;por Ronan Rodrigo Nunes, Software Engineer @ Uber;A template to learn the foundations of Swift for iOS app development.;20,9 mil;3,2 mil;https://trello.com/templates/engineering/swift-developer-roadmap-hLGyiEEE
Syllabus Template (before named Collaborative Syllabus);Categorized information;;Education;por C. Wess Daniels, Director @ Guilford College;Using Trello allows my students to participate in the actual development of the content within the syllabus.;43,6 mil;4,9 mil;https://trello.com/templates/education/syllabus-template-MEj9Q6SK
Tability's Public Start Up Roadmap;Ordered Information;;Engineering;por Bryan Schuldt, Co-Founder + Design Lead @ Tability;Create a sense of transparency between your users and your team.;12,1 mil;1,6 mil;https://trello.com/templates/engineering/tability's-public-start-up-roadmap-tixmANrR
Teaching: Weekly Planning;Process Tasks;;Education;por Emma Trentman, Associate Professor of Arabic @ University of New Mexico;A board per class. The lists are the weeks of the semester, cards are things I need to do for class each week.;103,4 mil;25,3 mil;https://trello.com/templates/education/teaching:-weekly-planning-tfI3gVjI
Team Focus Board;;Kanban;Team Management;por Paul Trowsdale, Project Manager @ UK Cabinet Office;Make our weekly team meetings more visual and engaging when discussing what is important.;9,1 mil;1,8 mil;https://trello.com/templates/team-management/team-focus-board-ut2TuipL
Team Goal Setting Central;Information lifecycle;;Business;por Trello Marketing Team;Keep execs and higher-ups happy with this clear and trackable goal setting process.;108 mil;29,3 mil;https://trello.com/templates/business/team-goal-setting-central-ry8F0DOb
Team Health Monitor;Categorized information;;Team Management;por Atlassian Team Playbook;Assess your team against the eight attributes most commonly found among healthy teams.;9,7 mil;1,1 mil;https://trello.com/templates/team-management/team-health-monitor-X9Fjlh8H
Team Icebreaker: Surviving the Apocalypse;Information lifecycle;;Team Management;por Christopher Davis, Product Designer @ Trello;Try this fun icebreaker during team hangouts, offsites, and more!;17,4 mil;858;https://trello.com/templates/team-management/team-icebreaker:-surviving-the-apocalypse-P6BjcmDd
Team Organization Central;Kanban & Categorized Information;;Team Management;por Trello Marketing Team;Store all essential team resources, schedules, project summaries, updates and more.;63,3 mil;14,9 mil;https://trello.com/templates/team-management/team-organization-central-ANpOpyQQ
Team Retrospectives With Post-itⓇ + Trello;Information lifecycle;;Team Management;por Andrew C. Hyde, Marketing Manager @ 3M;Gather your team together and put those Post-itⓇ Super Sticky Notes to work with Trello!;49,2 mil;9,6 mil;https://trello.com/templates/team-management/team-retrospectives-with-post-it%E2%93%A1-+-trello-GXmrfRXA
Team Tasks - 5 Things Workflow;Assigned Tasks;;Team Management;por Trello Team;"Learn the ""rule of five"" for managing better teams.";68,8 mil;6,8 mil;https://trello.com/templates/team-management/team-tasks---5-things-workflow-DQDXYzN7
Thank You Notes;Information lifecycle;;Personal;por Caity Cogdell, Associate Product Manager @ Trello;Writing thank you notes after your wedding can be overwhelming, but with Trello, it can be fun, too!;7,9 mil;1,2 mil;https://trello.com/templates/personal/thank-you-notes-D5id0lzX
The Home Workout Organizer;;Categorized Information;Personal;por JR Raphael, Founder/Author @ Android Intelligence;A great way to track and organize at-home workouts. Each column is broken out by type of exercise.;18,2 mil;2,3 mil;https://trello.com/templates/personal/the-home-workout-organizer-DCLBh3Go
The PM Skills Assessment by Marty Cagan (SVPG.com);;Categorized Information;Product Management;por Nurit Gazit, Senior Product Manager;Implement the PM Skills Assessment process from Silicon Valley Product Group.;5 mil;568;https://trello.com/templates/product-management/the-pm-skills-assessment-by-marty-cagan-(svpg.com)-RxEexasy
Timed Effort Planner;;Ordered Information;Productivity;por Mahesh Raju, Director of Technology @ Hyreo;Improve productivity by categorizing different tasks into different timed buckets.;28,6 mil;3,7 mil;https://trello.com/templates/productivity/timed-effort-planner-JLwlD7n3
Town Hall Meetings;Ordered Information;;Business;por Trello Team;To facilitate the transparency of these meetings we created a Trello board that is open to everyone at the company.;60,1 mil;9,6 mil;https://trello.com/templates/business/town-hall-meetings-K0ZOiQ7U
Travel Bucket List;Categorized information;;Personal;por GetYourGuide;Use this simple and shareable bucket list board for planning your ultimate #travelgoals.;7,6 mil;2,2 mil;https://trello.com/templates/personal/travel-bucket-list-LHnU3mXt
Travel Itinerary Template (before named perfect trip multi-destination);Categorized information;;Personal;por Skyscanner;This template is a great place to keep track of all the details for your next multi-destination trip!;25,4 mil;6,1 mil;https://trello.com/templates/personal/travel-itinerary-template-i595FvSA
Travel Packing Checklist;;Categorized Information;Personal;por Kelvin Baggs, Travel Enthusiast;Ensure you pack everything for your perfect vacation.;8,1 mil;2,8 mil;https://trello.com/templates/personal/travel-packing-checklist-EDzslHaL
Travel Planning;;Categorized Information;Personal;por Joe Guzik, Finance Manager @ SAP Concur;Plan and execute the perfect trip!;4,6 mil;1,2 mil;https://trello.com/templates/personal/travel-planning-ZCYR1tqO
Travel Planning Template;;Kanban & Categorized Information;Personal;por Kelvin Baggs, Travel Enthusiast;Plan your trip from start to finish.;10 mil;3,4 mil;https://trello.com/templates/personal/travel-planning-template-mHcawLin
UNICEF Global Innovation Centre;Information lifecycle;;Project Management;por UNICEF;Working with any number of countries at any given time, UNICEF is able to keep track of every location, including all points of contact and every important document, on dedicated Trello boards.;13,9 mil;881;https://trello.com/templates/project-management/unicef-global-innovation-centre-ayrAnnoL
User Story Mapping Template;;Kanban & Categorized Information;Product Management;por Faris Han, Developer @ Hubton Indonesia;A template for mapping digital product's user stories with multiple user roles.;19,9 mil;2,5 mil;https://trello.com/templates/product-management/user-story-mapping-template-XVrmnTX3
UX Empathy Mapping;;Categorized Tasks & Categorized Information;Design;por Binnie Poonian, UX Designer;Topics to cover during a empathy mapping workshop.;4,4 mil;750;https://trello.com/templates/design/ux-empathy-mapping-VemLA4Nc
Video Production;;Information Lifecycle;Project Management;por Jontanium;Use this board to manage your video production.;2,8 mil;857;https://trello.com/templates/project-management/video-production-iofItG0K
Web Design | Development;;Kanban & Categorized Information;Design;por Kofi Bawuah Boakye, Product Designer;This is a quick setup for all freelance and personal web design and web development projects.;18,1 mil;5,7 mil;https://trello.com/templates/design/web-design-%7C-development-OJR1JJT7
Web Development;;Kanban;Engineering;por Prashant Omer, Freelance Developer;A simple template to help  web developers organize and manage tasks.;56,3 mil;12 mil;https://trello.com/templates/engineering/web-development-SgP1106r
Wedding Party;Kanban & Process Tasks;;Personal;por Lauren Moon, Product Marketing @ Trello;Use this board to coordinate wedding party logistics, plan bachelor/ette parties and showers, and more!;14,2 mil;2,2 mil;https://trello.com/templates/personal/wedding-party-wFECC39M
Wedding Planning;Kanban & Process Tasks;;Personal;por Lauren Moon, Product Marketing @ Trello;This template has the master list of wedding-related tasks, broken down by how many months out you are from the big day.;55,5 mil;12,8 mil;https://trello.com/templates/personal/wedding-planning-JeOMdNMH
Weekly Classroom Newsletter;;Ordered Information;Education;por Trello Team;Plan and communicate with your class parents using Trello!;38,8 mil;2,4 mil;https://trello.com/templates/education/weekly-classroom-newsletter-ALJlJokP
Weekly Music Lesson Template;;Ordered Information;Education;por Kyle McGowan, Owner @ Heartland Music Academy;For music instructors who teach an instrument online.;5,8 mil;1 mil;https://trello.com/templates/education/weekly-music-lesson-template-tze79Ve6
Weekly Planner;;Information Lifecycle;Productivity;por Noor Margana, IT Student;Use this simple planner to schedule out your entire week!;21,7 mil;6,3 mil;https://trello.com/templates/productivity/weekly-planner-9u2Y1vYu
Weekly Team Meetings;Categorized information;;Team Management;por Trello Marketing Team;Always make the most of valuable meeting minutes with a clearer agenda, attached decks & more.;57,4 mil;15,3 mil;https://trello.com/templates/team-management/weekly-team-meetings-GDz7Wd53
Wellbeing Discussion Template;;Categorized Information;Operations-hr;por David Ostberg, Dir. of People Science @ Culture Amp;Gauge the wellbeing of your team on a consistent basis with retrospective and ideation sessions.;5,8 mil;724;https://trello.com/templates/operations-hr/wellbeing-discussion-template-xhm9hn9W
Where to next: Travel inspiration board;Kanban & Categorized Information;;Personal;por Skyscanner;Use this template to start planning your next dream trip ✈️;5,3 mil;1,6 mil;https://trello.com/templates/personal/where-to-next:-travel-inspiration-board-8ykctyqk
White Elephant!;;Assigned Information;Personal;por Natalie Mendes, Senior Content Marketing Manager @ Atlassian;Everyone's favorite holiday gift exchange game that can now be played virtually!;3,7 mil;340;https://trello.com/templates/personal/white-elephant!-ED47L26U
Work From Home Daily Planner;;Kanban;Remote work;por Sarah Costello @ TalentHub;Plan, collaborate and monitor your work-from-home schedule.;67,7 mil;25,7 mil;https://trello.com/templates/remote-work/work-from-home-daily-planner-5sRDk17I
Work request and intake process;;Information Lifecycle;Project Management;por Derek Hamilton, Content Designer @ Trello;An easy and automated way for coworkers to request work from you.;16,6 mil;1,8 mil;https://trello.com/templates/project-management/work-request-and-intake-process-BGbKiKKA
Working Agreements;;Categorized Information;Team Management;por Atlassian Team Playbook;Create a list of expectations with your teammates for successful collaboration.;4,7 mil;671;https://trello.com/templates/team-management/working-agreements-sRdK1bCF
Writing A Book;Information lifecycle;;Personal;por Rani Shah, Content & Social Media Manager @ Trello;Whether it's an epic novel or a children's book, we've got you covered with a template that can help you along your literary journey.;18,1 mil;5,4 mil;https://trello.com/templates/personal/writing-a-book-XAOC4oWL
Yoga Flow Creator;;Categorized Information;Personal;por Jessie Maxwell, Edge Effect Media;Create yoga flows with this template chock full of visual pose cards!;6,6 mil;1,3 mil;https://trello.com/templates/personal/yoga-flow-creator-2ZqT7c8T
230;91;139;;;;;;
